DATAFLOW;LAST UPDATE;freq;cons_fp;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2017;111;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2018;108;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2019;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2020;106;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;IT;2021;108;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2011;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2012;110;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2013;108;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2014;108;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2015;106;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2016;107;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2017;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2018;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2019;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2020;114;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LT;2021;115;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2011;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2012;106;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2013;108;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2014;112;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2015;115;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2016;115;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2017;123;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2018;121;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2019;131;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2020;130;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LU;2021;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2011;99;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2012;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2013;95;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2014;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2015;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2016;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2017;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2018;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2019;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2020;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;LV;2021;86;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2011;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2012;107;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2013;110;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2014;115;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2015;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2016;121;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2017;133;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2018;135;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2019;148;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2020;146;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;MT;2021;137;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2011;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2012;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2013;112;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2014;112;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2015;112;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2016;114;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2017;119;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2018;119;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2019;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2020;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;NL;2021;118;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2011;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2012;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2013;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2014;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2015;107;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2016;115;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2017;118;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2018;121;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2019;122;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2020;124;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PL;2021;131;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2011;94;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2012;93;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2013;94;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2014;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2015;96;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2016;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2017;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2018;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2019;111;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2020;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;PT;2021;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;RO;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;RO;2011;98;
